epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.31555,1.17122,2.86835,1.66905,0.00714,1,0.995,0.64462,0.79143,2.64282,1.6657,0.000545564,0.000545564,0.000545564
2,8.69487,1.2849,2.28258,1.7392,0.79737,0.98684,0.895,0.32844,1.6967,2.06676,2.21406,0.00107943,0.00107943,0.00107943
3,12.7257,1.3568,2.17741,1.79903,0.76801,0.5,0.66881,0.12272,2.85861,4.05617,3.93317,0.00159128,0.00159128,0.00159128
4,16.6867,1.37018,2.09033,1.81674,0.29911,0.25,0.12097,0.0147,3.81146,5.61206,4.59559,0.00156798,0.00156798,0.00156798
5,20.7354,1.36144,2.00536,1.80258,1,0.74243,0.88786,0.62226,1.29846,1.86971,2.56694,0.00153497,0.00153497,0.00153497
6,24.74,1.43558,1.99339,1.85458,0.96872,0.75,0.74621,0.1828,2.82623,4.29403,3.73961,0.00150197,0.00150197,0.00150197
7,28.691,1.33055,1.86929,1.75844,0.48728,0.95546,0.67,0.31673,1.83054,2.16862,3.03603,0.00146896,0.00146896,0.00146896
8,32.6196,1.3065,1.77084,1.74489,1,0.96806,0.995,0.54689,1.68432,1.57089,3.80456,0.00143595,0.00143595,0.00143595
9,36.545,1.36408,1.82341,1.79154,0.20704,0.25,0.13908,0.07086,2.42078,3.51051,3.09895,0.00140295,0.00140295,0.00140295
10,40.5289,1.32321,1.77921,1.72616,1,0.73913,0.74594,0.25322,2.43424,2.00067,3.05444,0.00136994,0.00136994,0.00136994
11,44.4839,1.23111,1.66695,1.7151,0.86762,1,0.995,0.64653,1.30119,1.28533,2.31659,0.00133693,0.00133693,0.00133693
12,48.4505,1.21784,1.60793,1.69039,0.98197,1,0.995,0.64217,1.35239,1.40262,2.45379,0.00130393,0.00130393,0.00130393
13,52.4517,1.20604,1.58583,1.65723,1,0.99385,0.995,0.64268,1.40429,1.27432,2.30153,0.00127092,0.00127092,0.00127092
14,56.4457,1.23555,1.56432,1.64873,0.99769,1,0.995,0.57357,1.55494,1.4746,2.5415,0.00123791,0.00123791,0.00123791
15,60.4276,1.22577,1.59088,1.68386,0.97615,0.75,0.77278,0.56454,1.63034,1.29268,2.28531,0.00120491,0.00120491,0.00120491
16,64.396,1.1915,1.53922,1.6324,0.99347,1,0.995,0.26781,2.4756,1.24841,3.43692,0.0011719,0.0011719,0.0011719
17,68.3851,1.13375,1.4717,1.59933,0.95625,1,0.995,0.73975,1.12478,1.06995,2.04646,0.00113889,0.00113889,0.00113889
18,72.44,1.14689,1.52189,1.60939,0.97823,1,0.995,0.64942,1.25807,1.06473,1.99446,0.00110589,0.00110589,0.00110589
19,76.4454,1.12089,1.4297,1.58434,0.9737,1,0.995,0.54735,1.45432,0.96682,2.12373,0.00107288,0.00107288,0.00107288
20,80.43,1.11509,1.39526,1.56242,1,0.99233,0.995,0.73477,1.17388,1.02975,1.94568,0.00103987,0.00103987,0.00103987
21,84.4609,1.13017,1.38062,1.57436,0.97903,1,0.995,0.67748,1.29894,0.85437,2.39023,0.00100687,0.00100687,0.00100687
22,88.4439,1.10448,1.30049,1.58732,0.98824,1,0.995,0.59036,1.39362,0.81701,2.46967,0.000973861,0.000973861,0.000973861
23,92.4293,1.08601,1.31622,1.56893,0.99665,1,0.995,0.62253,1.5693,0.98473,2.09563,0.000940855,0.000940855,0.000940855
24,96.4787,1.00981,1.22766,1.50644,0.98773,1,0.995,0.72172,1.04968,0.65961,1.87936,0.000907848,0.000907848,0.000907848
25,100.477,1.07649,1.25807,1.53959,0.97959,1,0.995,0.67938,1.28415,0.79439,2.04152,0.000874842,0.000874842,0.000874842
26,104.52,1.06703,1.23943,1.55682,0.97732,1,0.995,0.64318,1.30517,0.75969,2.52044,0.000841835,0.000841835,0.000841835
27,108.531,1.04419,1.213,1.54355,0.98831,1,0.995,0.70943,1.06871,0.71764,1.79127,0.000808828,0.000808828,0.000808828
28,112.576,1.03488,1.22145,1.49963,0.98894,1,0.995,0.48561,1.61779,0.69541,2.74203,0.000775822,0.000775822,0.000775822
29,116.673,1.00716,1.18298,1.51763,0.98797,1,0.995,0.66272,1.05475,0.81904,1.80676,0.000742815,0.000742815,0.000742815
30,120.675,1.0164,1.1698,1.49283,0.98434,1,0.995,0.68016,1.21734,0.64267,1.8964,0.000709809,0.000709809,0.000709809
